Business Legal Name,Ownership Type,Trade Name,NAICS Code,NAICS Description,License Start Date,"City, State, ZIP",ZIP,Beat
CHAMPION WINE CELLARS INC,Corporation,CHAMPION CELLARS,445310,"Beer, Wine, and Liquor Stores",1-Dec-69,"SEATTLE, WA 98109",98109,Q3
EUROPEAN VINE SELECTIONS OF WA,Corporation,EUROPEAN VINE SELECTIONS OF WA,445310,"Beer, Wine, and Liquor Stores",1-Nov-72,"SEATTLE, WA 98112",98112,C1
PIKE & WESTERN CO,Corporation,PIKE & WESTERN CO,445310,"Beer, Wine, and Liquor Stores",16-Jul-75,"SEATTLE, WA 98101",98101,M1
MCCARTHY & SCHIERING WINE MERCHANTS INC,Corporation,WINE MERCHANTS INC QUEEN ANNE,445310,"Beer, Wine, and Liquor Stores",1-Nov-90,"SEATTLE, WA 98109",98109,Q2
MCCARTHY & SCHIERING WINE MERCHANTS INC,Corporation,MCCARTHY & SCHIERING WINE MERCHANT,445310,"Beer, Wine, and Liquor Stores",13-Jun-86,"SEATTLE, WA 98115",98115,U1
SEATTLE BOTTLEWORKS INC,Corporation,BOTTLEWORKS INC,445310,"Beer, Wine, and Liquor Stores",1-Nov-98,"SEATTLE, WA 98103",98103,B3
HERNDON MICHAEL E,Sole Proprietor,CITY CELLARS FINE WINES,445310,"Beer, Wine, and Liquor Stores",1-Jan-00,"SEATTLE, WA 98103",98103,B3
RAINIER WINE LLC,LLC*Limited Liability Co,RAINIER WINE,445310,"Beer, Wine, and Liquor Stores",25-May-07,"SEATTLE, WA 98115",98102,D3
FULL THROTTLE BOTTLES LLC,LLC*Limited Liability Co,FULL THROTTLE BOTTLES,445310,"Beer, Wine, and Liquor Stores",15-Jan-08,"SEATTLE, WA 98108",98108,O3
VINO VERITE LLC,LLC*Limited Liability Co,VINO VERITE,445310,"Beer, Wine, and Liquor Stores",1-Sep-08,"SEATTLE, WA 98118",98118,R3
BEER AUTHORITY LLC THE,LLC*Limited Liability Co,THE BEER AUTHORITY,445310,"Beer, Wine, and Liquor Stores",1-Mar-09,"SEATTLE, WA 98125-4427",98125,L3
FULL PULL WINES LLC,LLC*Limited Liability Co,FULL PULL WINES LLC,445310,"Beer, Wine, and Liquor Stores",15-Jul-09,"SEATTLE, WA 98134-2236",98134,O2
STILL LIQUOR LLC,LLC*Limited Liability Co,STILL,445310,"Beer, Wine, and Liquor Stores",15-Dec-09,"SEATTLE, WA 98101",98101,E3
BLUESTONE LLC,LLC*Limited Liability Co,CHUCKS HOP SHOP,445310,"Beer, Wine, and Liquor Stores",1-Feb-14,"SEATTLE, WA 98122-2835",98122,C3
BIN 41 LLC,LLC*Limited Liability Co,BIN 41,445310,"Beer, Wine, and Liquor Stores",1-Mar-10,"SEATTLE, WA 98116",98116,W2
BEER JUNCTION LLC THE,LLC*Limited Liability Co,BEER JUNCTION THE,445310,"Beer, Wine, and Liquor Stores",1-Apr-10,"SEATTLE, WA 98116",98116,W2
G V M  LLC,LLC*Limited Liability Co,UNIVERSITY WINES,445310,"Beer, Wine, and Liquor Stores",1-May-10,"SEATTLE, WA 98105-2941",98105,U3
MADRONA WINE MERCHANTS LLC,LLC*Limited Liability Co,MADRONA WINE MERCHANTS,445310,"Beer, Wine, and Liquor Stores",1-Sep-11,"SEATTLE, WA 98122-5138",98122,C3
UNIVERSITY LIQUOR AND CONVENIENCE STORE LLC,LLC*Limited Liability Co,UNIVERSITY LIQUOR AND CONVENIENCE STORE LLC,445310,"Beer, Wine, and Liquor Stores",1-Jun-12,"SEATTLE, WA 98115",98115,U3
BALLARD LIQUOR AND CONVENIENCE STORE LLC,LLC*Limited Liability Co,BALLARD LIQUOR AND CONVENIENCE STORE LLC,445310,"Beer, Wine, and Liquor Stores",1-Jun-12,"SEATTLE, WA 98107",98107,B1
MDY ENTERPRISES LLC,LLC*Limited Liability Co,LIQUOR & WINE,445310,"Beer, Wine, and Liquor Stores",1-Jun-12,"SEATTLE, WA 98122",98122,C3
QUEEN ANNE LIQUOR & WINE INC,Corporation,QUEEN ANNE LIQUOR & WINE,445310,"Beer, Wine, and Liquor Stores",15-Jun-12,"SEATTLE, WA 98109-4523",98109,Q3
CAPCO BEVERAGES LLC,LLC*Limited Liability Co,CAPCO BEVERAGES,445310,"Beer, Wine, and Liquor Stores",1-Jun-12,"SEATTLE, WA 98116",98116,W2
NORTHWEST LIQUOR & WINE LLC,LLC*Limited Liability Co,NORTHWEST LIQUOR & WINE,445310,"Beer, Wine, and Liquor Stores",1-Jun-12,"SEATTLE, WA 98122-2484",98122,E2
BEVERAGES & MORE INC,Corporation,BEVMO,445310,"Beer, Wine, and Liquor Stores",18-Oct-12,"SEATTLE, WA 98125-7206",98125,L2
BEVERAGES & MORE INC,Corporation,BEVMO,445310,"Beer, Wine, and Liquor Stores",29-Mar-13,"SEATTLE, WA 98107-4529",98107,B2
BOBS DISCOUNT BEVERAGES LLC,LLC*Limited Liability Co,BOBS LAKE CITY LIQUORS,445310,"Beer, Wine, and Liquor Stores",1-Nov-12,"SEATTLE, WA 98115-2349",98115,L3
TAP STATION LLC,LLC*Limited Liability Co,TAP STATION,445310,"Beer, Wine, and Liquor Stores",1-Jul-13,"SEATTLE, WA 98126",98126,F2
A PIZZA MART BAR & GRILL INC,Corporation,A PIZZA MART,445310,"Beer, Wine, and Liquor Stores",18-Jul-13,"SEATTLE, WA 98105-3537",98105,U1
ROOT CULTURE LAB,LLP*Limited Liability Partners,BOTTLEHOUSE,445310,"Beer, Wine, and Liquor Stores",1-Sep-13,"SEATTLE, WA 98122-3334",98122,C3
BALLARD BEER COMPANY LLC,LLC*Limited Liability Co,BALLARD BEER COMPANY,445310,"Beer, Wine, and Liquor Stores",16-Feb-14,"SEATTLE, WA 98107",98107,B1
THE CANNERY BEER LLC,LLC*Limited Liability Co,THE CANNERY,445310,"Beer, Wine, and Liquor Stores",1-Aug-14,"SEATTLE, WA 98107-4016",98107,B1
DANCINGGUY,LLC*Limited Liability Co,LARK,445310,"Beer, Wine, and Liquor Stores",1-Nov-14,"SEATTLE, WA 98122",98122,E2
WASHINGTON FINE WINE & SPIRITS LLC,LLC*Limited Liability Co,TOTAL WINE & MORE,445310,"Beer, Wine, and Liquor Stores",30-Oct-14,"SEATTLE, WA 98125-6106",98125,L2
OUR SEATTLE VODKA LLC,LLC*Limited Liability Co,OUR SEATTLE VODKA LLC,445310,"Beer, Wine, and Liquor Stores",14-Jan-15,"SEATTLE, WA 98107",98107,B1
SODO WINE CO LLC,LLC*Limited Liability Co,SODO WINE CO,445310,"Beer, Wine, and Liquor Stores",1-Aug-15,"SEATTLE, WA 98134-1618",98134,O2
GROWL64 LLC,LLC*Limited Liability Co,THE GROWL STORE,445310,"Beer, Wine, and Liquor Stores",1-Nov-15,"SEATTLE, WA 98122-3909",98122,E2
HB BREWS LLC,LLC*Limited Liability Co,SEATTLE BEER COMPANY,445310,"Beer, Wine, and Liquor Stores",1-May-16,"SEATTLE, WA 98101-2021",98101,M1
AMBER LANTERN LLC,LLC*Limited Liability Co,HOPVINE PATCH,445310,"Beer, Wine, and Liquor Stores",1-May-16,"SEATTLE, WA 98109",98109,D2
TR WINES INC,Corporation,WATERS WINERY,445310,"Beer, Wine, and Liquor Stores",30-May-16,"SEATTLE, WA 98134-2203",98134,O2